"","Age.ka.BP","Smoothed.LR04.d18O","Detrended.smoothed.d18O"
"513",1024,3.64,3.64
"514",1026,3.87,3.87
"515",1028,3.84,3.84
"516",1030,3.95,3.95
"517",1032,4.08,4.08
"518",1034,4.36,4.36
"519",1036,4.33,4.33
"520",1038,4.54,4.54
"521",1040,4.33,4.33
"522",1042,4.23,4.23
"523",1044,4.38,4.38
"524",1046,4.22,4.22
"525",1048,4.29,4.29
"526",1050,4.18,4.18
"527",1052,4.27,4.27
"528",1054,4.25,4.25
"529",1056,4.12,4.12
"530",1058,4.23,4.23
"531",1060,4.08,4.08
"532",1062,3.94,3.94
"533",1064,3.66,3.66
"534",1066,3.48,3.48
"535",1068,3.33,3.33
"536",1070,3.34,3.34
"537",1072,3.21,3.21
"538",1074,3.42,3.42
"539",1076,3.48,3.48
"540",1078,3.54,3.54
"541",1080,3.61,3.61
"542",1082,3.81,3.81
"543",1084,3.7,3.7
"544",1086,3.89,3.89
"545",1088,3.91,3.91
"546",1090,3.95,3.95
"547",1092,4.01,4.01
"548",1094,4,4
"549",1096,4.03,4.03
"550",1098,4.29,4.29
"551",1100,4.08,4.08
"552",1102,4.03,4.03
"553",1104,3.93,3.93
"554",1106,3.83,3.83
"555",1108,3.67,3.67
"556",1110,3.85,3.85
"557",1112,3.84,3.84
"558",1114,4.12,4.12
"559",1116,4.14,4.14
"560",1118,4.2,4.2
"561",1120,4.09,4.09
"562",1122,4.47,4.47
"563",1124,4.34,4.34
"564",1126,4.5,4.5
"565",1128,4.38,4.38
"566",1130,4.32,4.32
"567",1132,4.05,4.05
"568",1134,4.22,4.22
"569",1136,4.24,4.24
"570",1138,4.02,4.02
"571",1140,4.02,4.02
"572",1142,3.97,3.97
"573",1144,3.99,3.99
"574",1146,3.86,3.86
"575",1148,4.02,4.02
"576",1150,3.82,3.82
"577",1152,3.75,3.75
"578",1154,3.76,3.76
"579",1156,3.79,3.79
"580",1158,3.68,3.68
"581",1160,3.6,3.6
"582",1162,3.6,3.6
"583",1164,3.66,3.66
"584",1166,3.53,3.53
"585",1168,3.56,3.56
"586",1170,3.6,3.6
"587",1172,3.73,3.73
"588",1174,3.76,3.76
"589",1176,3.74,3.74
"590",1178,3.8,3.8
"591",1180,3.6,3.6
"592",1182,3.84,3.84
"593",1184,3.65,3.65
"594",1186,3.77,3.77
"595",1188,3.67,3.67
"596",1190,4.05,4.05
"597",1192,4.14,4.14
"598",1194,4.27,4.27
"599",1196,4.28,4.28
"600",1198,4.43,4.43
"601",1200,4.42,4.42
"602",1202,4.2,4.2
"603",1204,4.34,4.34
"604",1206,4.16,4.16
"605",1208,4.32,4.32
"606",1210,4.2,4.2
"607",1212,4.08,4.08
"608",1214,4.1,4.1
"609",1216,3.82,3.82
"610",1218,3.73,3.73
"611",1220,3.97,3.97
"612",1222,3.94,3.94
"613",1224,3.74,3.74
"614",1226,3.63,3.63
"615",1228,3.55,3.55
"616",1230,3.42,3.42
"617",1232,3.41,3.41
"618",1234,3.34,3.34
"619",1236,3.38,3.38
"620",1238,3.35,3.35
"621",1240,3.33,3.33
"622",1242,3.47,3.47
"623",1244,3.85,3.85
"624",1246,4.1,4.1
"625",1248,4.36,4.36
"626",1250,4.31,4.31
"627",1252,4.25,4.25
"628",1254,4.27,4.27
"629",1256,4.11,4.11
"630",1258,3.9,3.9
"631",1260,3.87,3.87
"632",1262,4.07,4.07
"633",1264,3.96,3.96
"634",1266,3.91,3.91
"635",1268,3.91,3.91
"636",1270,3.84,3.84
"637",1272,3.81,3.81
"638",1274,3.84,3.84
"639",1276,3.71,3.71
"640",1278,3.67,3.67
"641",1280,3.56,3.56
"642",1282,3.65,3.65
"643",1284,3.84,3.84
"644",1286,3.97,3.97
"645",1288,4.26,4.26
"646",1290,4.35,4.35
"647",1292,4.14,4.14
"648",1294,3.94,3.94
"649",1296,4.2,4.2
"650",1298,4.15,4.15
"651",1300,4.07,4.07
"652",1302,4.06,4.06
"653",1304,3.97,3.97
"654",1306,3.9,3.9
"655",1308,3.8,3.8
"656",1310,3.65,3.65
"657",1312,3.69,3.69
"658",1314,3.71,3.71
"659",1316,3.59,3.59
"660",1318,3.73,3.73
"661",1320,3.95,3.95
"662",1322,3.94,3.94
"663",1324,3.99,3.99
"664",1326,4,4
"665",1328,4.09,4.09
"666",1330,4.06,4.06
"667",1332,4.02,4.02
"668",1334,4.19,4.19
"669",1336,4.19,4.19
"670",1338,4.1,4.1
"671",1340,4.19,4.19
"672",1342,4.07,4.07
"673",1344,3.88,3.88
"674",1346,3.86,3.86
"675",1348,3.67,3.67
"676",1350,3.59,3.59
"677",1352,3.49,3.49
"678",1354,3.41,3.41
"679",1356,3.5,3.5
"680",1358,3.55,3.55
"681",1360,3.63,3.63
"682",1362,3.8,3.8
"683",1364,3.98,3.98
"684",1366,3.99,3.99
"685",1368,4.2,4.2
"686",1370,4.04,4.04
"687",1372,4.26,4.26
"688",1374,4.21,4.21
"689",1376,4.08,4.08
"690",1378,4.2,4.2
"691",1380,4.05,4.05
"692",1382,3.96,3.96
"693",1384,3.82,3.82
"694",1386,3.72,3.72
"695",1388,3.61,3.61
"696",1390,3.73,3.73
"697",1392,3.59,3.59
"698",1394,3.7,3.7
"699",1396,3.54,3.54
"700",1398,3.49,3.49
"701",1400,3.56,3.56
"702",1402,3.63,3.63
"703",1404,3.74,3.74
"704",1406,3.97,3.97
"705",1408,3.97,3.97
"706",1410,4.2,4.2
"707",1412,4.4,4.4
"708",1414,4.22,4.22
"709",1416,3.96,3.96
"710",1418,3.84,3.84
"711",1420,3.96,3.96
"712",1422,3.83,3.83
"713",1424,3.72,3.72
"714",1426,3.72,3.72
"715",1428,3.61,3.61
"716",1430,3.52,3.52
"717",1432,3.38,3.38
"718",1434,3.38,3.38
"719",1436,3.24,3.24
"720",1438,3.24,3.24
"721",1440,3.28,3.28
"722",1442,3.34,3.34
"723",1444,3.33,3.33
"724",1446,3.36,3.36
"725",1448,3.35,3.35
"726",1450,3.49,3.49
"727",1452,3.8,3.8
"728",1454,4.2,4.2
"729",1456,4.31,4.31
"730",1458,4.24,4.24
"731",1460,4.1,4.1
"732",1462,4.07,4.07
"733",1464,4.22,4.22
"734",1466,3.99,3.99
"735",1468,3.87,3.87
"736",1470,3.62,3.62
"737",1472,3.45,3.45
"738",1474,3.38,3.38
"739",1476,3.31,3.31
"740",1478,3.42,3.42
"741",1480,3.39,3.39
"742",1482,3.44,3.44
"743",1484,3.57,3.57
"744",1486,3.42,3.42
"745",1488,3.42,3.42
"746",1490,3.51,3.51
"747",1492,3.77,3.77
"748",1494,4.05,4.05
"749",1496,4.36,4.36
"750",1498,4.24,4.24
"751",1500,4.21,4.21
"752",1502.5,4.29,4.29082409467283
"753",1505,4.16,4.16164818934567
"754",1507.5,4.15,4.1524722840185
"755",1510,4.02,4.02329637869134
"756",1512.5,3.74,3.74412047336417
"757",1515,3.69,3.694944568037
"758",1517.5,3.79,3.79576866270984
"759",1520,3.64,3.64659275738267
"760",1522.5,3.67,3.67741685205551
"761",1525,3.7,3.70824094672834
"762",1527.5,3.89,3.89906504140118
"763",1530,3.96,3.96988913607401
"764",1532.5,4.2,4.21071323074684
"765",1535,4.41,4.42153732541968
"766",1537.5,4.35,4.36236142009251
"767",1540,4.38,4.39318551476535
"768",1542.5,4.3,4.31400960943818
"769",1545,4.07,4.08483370411102
"770",1547.5,3.97,3.98565779878385
"771",1550,3.82,3.83648189345668
"772",1552.5,3.68,3.69730598812952
"773",1555,3.72,3.73813008280235
"774",1557.5,3.79,3.80895417747519
"775",1560,3.76,3.77977827214802
"776",1562.5,3.58,3.60060236682085
"777",1565,3.56,3.58142646149369
"778",1567.5,3.73,3.75225055616652
"779",1570,3.85,3.87307465083936
"780",1572.5,4.17,4.19389874551219
"781",1575,4.24,4.26472284018503
"782",1577.5,4.18,4.20554693485786
"783",1580,3.99,4.01637102953069
"784",1582.5,3.99,4.01719512420353
"785",1585,3.8,3.82801921887636
"786",1587.5,3.66,3.6888433135492
"787",1590,3.72,3.74966740822203
"788",1592.5,3.86,3.89049150289486
"789",1595,3.71,3.7413155975677
"790",1597.5,3.61,3.64213969224053
"791",1600,3.53,3.56296378691337
"792",1602.5,3.37,3.4037878815862
"793",1605,3.55,3.58461197625903
"794",1607.5,3.66,3.69543607093187
"795",1610,3.66,3.6962601656047
"796",1612.5,3.88,3.91708426027754
"797",1615,3.84,3.87790835495037
"798",1617.5,3.9,3.93873244962321
"799",1620,3.65,3.68955654429604
"800",1622.5,3.68,3.72038063896887
"801",1625,3.76,3.80120473364171
"802",1627.5,4.01,4.05202882831454
"803",1630,3.55,3.59285292298738
"804",1632.5,3.57,3.61367701766021
"805",1635,3.56,3.60450111233305
"806",1637.5,3.6,3.64532520700588
"807",1640,3.68,3.72614930167871
"808",1642.5,3.88,3.92697339635155
"809",1645,4.05,4.09779749102438
"810",1647.5,4.17,4.21862158569722
"811",1650,4.18,4.22944568037005
"812",1652.5,4.25,4.30026977504288
"813",1655,4.28,4.33109386971572
"814",1657.5,4.11,4.16191796438855
"815",1660,4.13,4.18274205906139
"816",1662.5,4.08,4.13356615373422
"817",1665,4.13,4.18439024840706
"818",1667.5,3.91,3.96521434307989
"819",1670,3.88,3.93603843775272
"820",1672.5,3.86,3.91686253242556
"821",1675,3.55,3.60768662709839
"822",1677.5,3.72,3.77851072177123
"823",1680,3.65,3.70933481644406
"824",1682.5,3.57,3.63015891111689
"825",1685,3.59,3.65098300578973
"826",1687.5,3.74,3.80180710046256
"827",1690,3.72,3.7826311951354
"828",1692.5,3.75,3.81345528980823
"829",1695,3.82,3.88427938448107
"830",1697.5,3.77,3.8351034791539
"831",1700,4.09,4.15592757382673
"832",1702.5,4.15,4.21675166849957
"833",1705,4.12,4.1875757631724
"834",1707.5,4.17,4.23839985784524
"835",1710,3.93,3.99922395251807
"836",1712.5,3.86,3.9300480471909
"837",1715,3.83,3.90087214186374
"838",1717.5,3.57,3.64169623653657
"839",1720,3.52,3.59252033120941
"840",1722.5,3.72,3.79334442588224
"841",1725,3.79,3.86416852055508
"842",1727.5,3.8,3.87499261522791
"843",1730,3.74,3.81581670990074
"844",1732.5,3.86,3.93664080457358
"845",1735,3.6,3.67746489924641
"846",1737.5,3.6,3.67828899391925
"847",1740,3.71,3.78911308859208
"848",1742.5,3.69,3.76993718326491
"849",1745,4.13,4.21076127793775
"850",1747.5,4.21,4.29158537261058
"851",1750,4.16,4.24240946728342
"852",1752.5,3.85,3.93323356195625
"853",1755,3.74,3.82405765662909
"854",1757.5,3.83,3.91488175130192
"855",1760,3.53,3.61570584597475
"856",1762.5,3.63,3.71652994064759
"857",1765,3.49,3.57735403532042
"858",1767.5,3.52,3.60817812999326
"859",1770,3.48,3.56900222466609
"860",1772.5,3.38,3.46982631933892
"861",1775,3.53,3.62065041401176
"862",1777.5,3.57,3.66147450868459
"863",1780,3.65,3.74229860335743
"864",1782.5,3.8,3.89312269803026
"865",1785,3.77,3.8639467927031
"866",1787.5,3.85,3.94477088737593
"867",1790,3.99,4.08559498204876
"868",1792.5,4.06,4.1564190767216
"869",1795,4.09,4.18724317139443
"870",1797.5,3.89,3.98806726606727
"871",1800,3.95,4.0488913607401
"872",1802.5,3.8,3.89971545541293
"873",1805,3.68,3.78053955008577
"874",1807.5,3.66,3.7613636447586
"875",1810,3.52,3.62218773943144
"876",1812.5,3.68,3.78301183410427
"877",1815,3.61,3.7138359287771
"878",1817.5,3.98,4.08466002344994
"879",1820,3.82,3.92548411812277
"880",1822.5,3.73,3.83630821279561
"881",1825,3.72,3.82713230746844
"882",1827.5,3.65,3.75795640214128
"883",1830,3.42,3.52878049681411
"884",1832.5,3.63,3.73960459148694
"885",1835,3.68,3.79042868615978
"886",1837.5,3.57,3.68125278083261
"887",1840,3.57,3.68207687550545
"888",1842.5,3.57,3.68290097017828
"889",1845,3.61,3.72372506485112
"890",1847.5,3.8,3.91454915952395
"891",1850,3.62,3.73537325419678
"892",1852.5,3.61,3.72619734886962
"893",1855,3.56,3.67702144354245
"894",1857.5,3.64,3.75784553821529
"895",1860,3.89,4.00866963288812
"896",1862.5,4.19,4.30949372756095
"897",1865,4.16,4.28031782223379
"898",1867.5,3.97,4.09114191690662
"899",1870,3.95,4.07196601157946
