"","Age.ka.BP","Smoothed.LR04.d18O","Detrended.smoothed.d18O"
"1063",2280,3.84,4.09711753792426
"1064",2282.5,3.91,4.16794163259709
"1065",2285,3.8,4.05876572726993
"1066",2287.5,3.69,3.94958982194276
"1067",2290,3.68,3.9404139166156
"1068",2292.5,3.46,3.72123801128843
"1069",2295,3.45,3.71206210596127
"1070",2297.5,3.27,3.5328862006341
"1071",2300,3.28,3.54371029530693
"1072",2302.5,3.36,3.62453438997977
"1073",2305,3.35,3.6153584846526
"1074",2307.5,3.43,3.69618257932544
"1075",2310,3.61,3.87700667399827
"1076",2312.5,3.7,3.9678307686711
"1077",2315,3.74,4.00865486334394
"1078",2317.5,3.75,4.01947895801677
"1079",2320,3.76,4.03030305268961
"1080",2322.5,3.6,3.87112714736244
"1081",2325,3.52,3.79195124203528
"1082",2327.5,3.64,3.91277533670811
"1083",2330,3.64,3.91359943138094
"1084",2332.5,3.52,3.79442352605378
"1085",2335,3.39,3.66524762072661
"1086",2337.5,3.29,3.56607171539945
"1087",2340,3.2,3.47689581007228
"1088",2342.5,3.33,3.60771990474511
"1089",2345,3.37,3.64854399941795
"1090",2347.5,3.25,3.52936809409078
"1091",2350,3.58,3.86019218876362
"1092",2352.5,3.72,4.00101628343645
"1093",2355,3.8,4.08184037810928
"1094",2357.5,3.96,4.24266447278212
"1095",2360,3.92,4.20348856745495
"1096",2362.5,3.76,4.04431266212779
"1097",2365,3.87,4.15513675680062
"1098",2367.5,3.63,3.91596085147346
"1099",2370,3.72,4.00678494614629
"1100",2372.5,3.63,3.91760904081912
"1101",2375,3.39,3.67843313549196
"1102",2377.5,3.38,3.66925723016479
"1103",2380,3.37,3.66008132483763
"1104",2382.5,3.24,3.53090541951046
"1105",2385,3.33,3.6217295141833
"1106",2387.5,3.48,3.77255360885613
"1107",2390,3.54,3.83337770352896
"1108",2392.5,3.6,3.8942017982018
"1109",2395,3.41,3.70502589287463
"1110",2397.5,3.46,3.75584998754747
"1111",2400,3.48,3.7766740822203
"1112",2402.5,3.67,3.96749817689313
"1113",2405,3.69,3.98832227156597
"1114",2407.5,3.41,3.7091463662388
"1115",2410,3.29,3.58997046091164
"1116",2412.5,3.37,3.67079455558447
"1117",2415,3.37,3.67161865025731
"1118",2417.5,3.33,3.63244274493014
"1119",2420,3.35,3.65326683960297
"1120",2422.5,3.53,3.83409093427581
"1121",2425,3.49,3.79491502894864
"1122",2427.5,3.66,3.96573912362148
"1123",2430,3.93,4.23656321829431
"1124",2432.5,4.17,4.47738731296714
"1125",2435,4.09,4.39821140763998
"1126",2437.5,4.14,4.44903550231281
"1127",2440,4.01,4.31985959698565
"1128",2442.5,4,4.31068369165848
"1129",2445,3.95,4.26150778633132
"1130",2447.5,3.91,4.22233188100415
"1131",2450,3.73,4.04315597567698
"1132",2452.5,3.69,4.00398007034982
"1133",2455,3.45,3.76480416502265
"1134",2457.5,3.39,3.70562825969549
"1135",2460,3.39,3.70645235436832
"1136",2462.5,3.21,3.52727644904115
"1137",2465,3.25,3.56810054371399
"1138",2467.5,3.31,3.62892463838682
"1139",2470,3.32,3.63974873305966
"1140",2472.5,3.43,3.75057282773249
"1141",2475,3.57,3.89139692240533
"1142",2477.5,3.7,4.02222101707816
"1143",2480,3.7,4.02304511175099
"1144",2482.5,3.96,4.28386920642383
"1145",2485,3.99,4.31469330109666
"1146",2487.5,4.16,4.4855173957695
"1147",2490,3.83,4.15634149044233
"1148",2492.5,3.65,3.97716558511516
"1149",2495,3.62,3.947989679788
"1150",2497.5,3.43,3.75881377446083
"1151",2500,3.18,3.50963786913367
"1152",2502.5,3.35,3.6804619638065
"1153",2505,3.48,3.81128605847934
"1154",2507.5,3.42,3.75211015315217
"1155",2510,3.65,3.982934247825
"1156",2512.5,3.76,4.09375834249784
"1157",2515,3.89,4.22458243717067
"1158",2517.5,4.12,4.45540653184351
"1159",2520,4.13,4.46623062651634
"1160",2522.5,4.06,4.39705472118917
"1161",2525,4.13,4.46787881586201
"1162",2527.5,4.03,4.36870291053484
"1163",2530,3.89,4.22952700520768
"1164",2532.5,3.93,4.27035109988051
